type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
1,-0.028709787875413895,-0.205485001206398,0.12568792700767517,0.26916414499282837,0.30748724937438965,-0.044283244758844376,-0.3543732762336731,0.041692715138196945,0.2151145339012146,0.033930905163288116,-0.005318041890859604,-0.019610412418842316,0.25207915902137756,0.16611342132091522,-0.008276744745671749,-0.2023295909166336,-0.07880810648202896,0.24283413589000702,0.24091872572898865,0.03892132267355919,-0.07757321000099182,-0.08225183188915253,-0.06374725699424744,-0.10336431115865707,0.05494140088558197,-0.043642558157444,-0.1719605028629303,-0.10829835385084152,0.04248392954468727,-0.0029730964452028275,0.11751564592123032,-0.27234208583831787,0.21563783288002014,-0.2667539417743683,-0.3476462662220001,-0.29233911633491516,0.027306219562888145,0.132644385099411,0.05158352106809616,-0.1760464757680893,0.32171162962913513,0.01916399411857128,0.1175672709941864,0.10660628229379654,-0.04452173411846161,-0.27790066599845886,-0.18922851979732513,0.032740529626607895,-0.128770112991333,-0.08389349281787872,-0.07521429657936096,0.45402058959007263,0.2937929928302765,0.22556300461292267,0.1096043661236763,-0.3433230519294739,0.420749306678772,0.05771109461784363,0.09393418580293655,-0.037942782044410706,0.461922824382782,0.16463540494441986,-0.22675450146198273,0.2453845888376236
2,-0.01143095176666975,-0.21211978793144226,0.14064079523086548,0.25086143612861633,0.3016294836997986,-0.04725799709558487,-0.3252445161342621,0.05205145105719566,0.18831275403499603,0.0077530695125460625,-0.02349705994129181,-0.01124316081404686,0.23698684573173523,0.14684319496154785,0.008898941799998283,-0.1725383847951889,-0.06643261015415192,0.20869284868240356,0.24697130918502808,0.0400792695581913,-0.0837283656001091,-0.08268166333436966,-0.06642745435237885,-0.09820165485143661,0.057429131120443344,-0.034137312322854996,-0.15547870099544525,-0.10156531631946564,0.03161138668656349,-0.017845146358013153,0.09941776096820831,-0.2746080756187439,0.19012996554374695,-0.2707118093967438,-0.33151838183403015,-0.293743759393692,0.01433577574789524,0.11688485741615295,0.062093932181596756,-0.14918933808803558,0.2844036817550659,0.010174508206546307,0.13270783424377441,0.11138137429952621,-0.01621926762163639,-0.2631668150424957,-0.17294716835021973,0.03242572769522667,-0.11150194704532623,-0.08006750792264938,-0.03144753351807594,0.4396876096725464,0.25777891278266907,0.2131945937871933,0.11961434781551361,-0.3070184290409088,0.4188917875289917,0.0334538035094738,0.04701104387640953,-0.013217367231845856,0.40390461683273315,0.17685310542583466,-0.21513864398002625,0.25272440910339355
3,0.23730748891830444,-0.5650539398193359,0.14696335792541504,0.15045200288295746,0.2874939739704132,-0.35350799560546875,-0.42802998423576355,0.3842840790748596,-0.3296125829219818,-0.13254661858081818,-0.4309919774532318,0.49343040585517883,-0.443579763174057,0.225752592086792,0.1185341477394104,-0.32340896129608154,-0.2473166137933731,-0.13255153596401215,0.008366304449737072,-0.2350912094116211,0.06053633242845535,0.0005240938044153154,-0.19454719126224518,-0.1861940175294876,-0.09411340206861496,-0.25474023818969727,-0.5095115303993225,0.15681543946266174,0.1843903511762619,-0.17939329147338867,-0.5582080483436584,-0.617601215839386,0.05323955789208412,-0.6848342418670654,-0.199221670627594,-0.368120402097702,-0.1900428682565689,0.21035157144069672,0.32745322585105896,-0.008134773001074791,0.04497053101658821,-0.0023268794175237417,-0.17212586104869843,0.25427353382110596,-0.26339301466941833,0.4940836429595947,0.3130398690700531,-0.3525393009185791,-0.1976005882024765,-0.2786390781402588,0.07170436531305313,0.1510598063468933,-0.4237772822380066,0.3131645619869232,0.31548112630844116,-0.15981239080429077,0.9623181223869324,-0.19080030918121338,0.1840278059244156,0.05900361388921738,0.27413687109947205,0.14431524276733398,-0.6863751411437988,-0.07815646380186081
4,-0.022101441398262978,-0.16187596321105957,0.10546161234378815,0.27008554339408875,0.30675068497657776,-0.02058395929634571,-0.3443787395954132,0.031895559281110764,0.20726904273033142,0.02913590334355831,-0.0004365716886240989,0.0013512333389371634,0.21853892505168915,0.17063842713832855,-0.01706768199801445,-0.1848081350326538,-0.04680978134274483,0.2548638582229614,0.25345340371131897,0.053346097469329834,-0.06828797608613968,-0.06880775839090347,-0.07185773551464081,-0.1013404130935669,0.06098106876015663,-0.07082878798246384,-0.14102408289909363,-0.0750725045800209,0.05809459462761879,2.0677282009273767e-05,0.11232412606477737,-0.2590373456478119,0.22976268827915192,-0.2578531503677368,-0.3218272030353546,-0.27430686354637146,0.009972190484404564,0.12570226192474365,0.06021999940276146,-0.1896849125623703,0.32782143354415894,0.030476970598101616,0.14354218542575836,0.08425402641296387,-0.05949944257736206,-0.2649367153644562,-0.17335492372512817,0.02364581637084484,-0.11094877123832703,-0.09199482202529907,-0.07389717549085617,0.4793112277984619,0.2830643057823181,0.20427203178405762,0.10211880505084991,-0.3452312648296356,0.44468027353286743,0.06809545308351517,0.10730085521936417,-0.06890995055437088,0.4280250370502472,0.14621460437774658,-0.24146975576877594,0.24432823061943054
5,-0.023859864100813866,-0.18869133293628693,0.11710495501756668,0.25549542903900146,0.2617597281932831,-0.01729929819703102,-0.3221415579319,0.06303209811449051,0.19742633402347565,0.02478121779859066,-0.019350869581103325,0.0037001443561166525,0.21642857789993286,0.16113603115081787,-0.015073593705892563,-0.1671469658613205,-0.05550813302397728,0.2299933135509491,0.23963996767997742,0.03642253577709198,-0.0667971596121788,-0.07593849301338196,-0.06057301163673401,-0.10829854756593704,0.05517631396651268,-0.0662183165550232,-0.13699227571487427,-0.07230030000209808,0.08188799768686295,-0.014468119479715824,0.10459645092487335,-0.2493075728416443,0.20402231812477112,-0.2716384828090668,-0.31901049613952637,-0.2936072051525116,0.008209062740206718,0.12180865556001663,0.0550258606672287,-0.1734287291765213,0.2904301583766937,0.030573954805731773,0.11543523520231247,0.08421210199594498,-0.022141028195619583,-0.2513800263404846,-0.1681528091430664,0.012087956070899963,-0.09142556041479111,-0.10749279707670212,-0.05188470333814621,0.4388688802719116,0.266447514295578,0.21152366697788239,0.08650374412536621,-0.31754162907600403,0.4526424705982208,0.039576154202222824,0.09335323423147202,-0.0631999596953392,0.4221544563770294,0.14305080473423004,-0.22363075613975525,0.23384803533554077
6,-0.026525603607296944,-0.18868568539619446,0.12124893069267273,0.2647440731525421,0.2805981934070587,-0.035134561359882355,-0.3224082589149475,0.048490338027477264,0.19856266677379608,0.029563741758465767,-0.02201838046312332,0.005433207377791405,0.2211068868637085,0.1698014885187149,-0.02104749158024788,-0.1732032597064972,-0.06531289219856262,0.22136040031909943,0.23678921163082123,0.040623828768730164,-0.07787854969501495,-0.07250009477138519,-0.06682275980710983,-0.1145004853606224,0.06295158714056015,-0.06412354111671448,-0.1504681408405304,-0.09654238075017929,0.07505714893341064,-0.029459357261657715,0.11843065917491913,-0.27410975098609924,0.22337138652801514,-0.27005094289779663,-0.31913021206855774,-0.29636627435684204,0.006424435414373875,0.12503193318843842,0.06187022477388382,-0.16822181642055511,0.31197071075439453,0.040230751037597656,0.13224050402641296,0.09544716775417328,-0.035339321941137314,-0.24882212281227112,-0.17161816358566284,0.0024521967861801386,-0.09394626319408417,-0.1019773855805397,-0.028662560507655144,0.4429459571838379,0.2681041955947876,0.19265365600585938,0.08212108165025711,-0.3227887451648712,0.4623109698295593,0.030284222215414047,0.0870562344789505,-0.053639307618141174,0.41730961203575134,0.15176865458488464,-0.2224053591489792,0.24766141176223755
7,-0.022986050695180893,-0.19157859683036804,0.1074105054140091,0.255090594291687,0.25041982531547546,-0.035329971462488174,-0.3448706567287445,0.04579765349626541,0.21382726728916168,0.03441864997148514,-0.004231567028909922,-0.0013501403154805303,0.23227062821388245,0.15120284259319305,-0.013472975231707096,-0.19155293703079224,-0.06353962421417236,0.2453562617301941,0.22279004752635956,0.06330718100070953,-0.05915691331028938,-0.06749259680509567,-0.051458436995744705,-0.09790743142366409,0.07106340676546097,-0.050909508019685745,-0.16145890951156616,-0.0951928198337555,0.07671184837818146,0.0017045959830284119,0.09943944960832596,-0.2660926580429077,0.2034289836883545,-0.2717162072658539,-0.3206543028354645,-0.27763262391090393,0.0013961661607027054,0.12518168985843658,0.04383965581655502,-0.16241444647312164,0.32234376668930054,0.04002739116549492,0.12001843005418777,0.09270276129245758,-0.013748620636761189,-0.26209238171577454,-0.16954481601715088,0.01781347021460533,-0.09508360922336578,-0.10798031091690063,-0.02722799777984619,0.4474668502807617,0.2897398769855499,0.18824449181556702,0.08161679655313492,-0.31525859236717224,0.44367843866348267,0.029447484761476517,0.0968412458896637,-0.05966836214065552,0.42513880133628845,0.15549157559871674,-0.21973367035388947,0.23890918493270874
8,-0.016936568543314934,-0.194159597158432,0.1218794733285904,0.27489015460014343,0.27408429980278015,-0.033693790435791016,-0.33854031562805176,0.0499633364379406,0.2096886783838272,0.035049114376306534,-0.010348336771130562,0.011656994000077248,0.21440759301185608,0.17055188119411469,-0.023345226421952248,-0.18122178316116333,-0.04600758105516434,0.22490009665489197,0.24921788275241852,0.038179852068424225,-0.06568345427513123,-0.06726185232400894,-0.0760653018951416,-0.11476977169513702,0.07063273340463638,-0.0600527785718441,-0.13276585936546326,-0.0663263201713562,0.0827891156077385,-0.010907994583249092,0.10690701752901077,-0.26733022928237915,0.2188415378332138,-0.2748247981071472,-0.305531769990921,-0.29395273327827454,0.016773058101534843,0.12970638275146484,0.04887541010975838,-0.18445083498954773,0.3101778030395508,0.0397600494325161,0.12145555764436722,0.08998854458332062,-0.04238974675536156,-0.24977584183216095,-0.15083830058574677,0.012594996020197868,-0.09966170787811279,-0.09916893392801285,-0.050534579902887344,0.46117374300956726,0.26685720682144165,0.21803778409957886,0.0950869768857956,-0.325995534658432,0.4507251977920532,0.05467886105179787,0.10270605981349945,-0.05923013389110565,0.4238436818122864,0.1441984921693802,-0.2483215630054474,0.24475058913230896
9,-0.03130162134766579,-0.2063865065574646,0.12769635021686554,0.27920693159103394,0.2793135344982147,-0.029109198600053787,-0.3389066755771637,0.05562310293316841,0.23295414447784424,0.03136554732918739,-0.021128322929143906,-0.003619974944740534,0.23891444504261017,0.1731913685798645,-0.025312423706054688,-0.16060295701026917,-0.08078552037477493,0.25221800804138184,0.24643166363239288,0.0474947914481163,-0.0758352130651474,-0.08564212173223495,-0.05053780600428581,-0.11209829896688461,0.05536164715886116,-0.060234930366277695,-0.1361767053604126,-0.04197010025382042,0.058504361659288406,0.0032448340207338333,0.12498673796653748,-0.2758841812610626,0.21462512016296387,-0.28598928451538086,-0.3205226957798004,-0.3004494309425354,0.033353257924318314,0.13899661600589752,0.053730376064777374,-0.1779162585735321,0.29670172929763794,0.0415697917342186,0.10183782875537872,0.0775107592344284,-0.045167796313762665,-0.255380779504776,-0.16196836531162262,0.025055453181266785,-0.10578138381242752,-0.10093577206134796,-0.0838690772652626,0.4723667502403259,0.26873335242271423,0.20673701167106628,0.10211261361837387,-0.3198840022087097,0.43738749623298645,0.032546475529670715,0.09828005731105804,-0.07833872735500336,0.42226874828338623,0.13922971487045288,-0.23901885747909546,0.2456667721271515
10,-0.032910749316215515,-0.19350624084472656,0.12896309792995453,0.27121180295944214,0.27631428837776184,-0.03343087434768677,-0.3467980921268463,0.06264679878950119,0.20903116464614868,0.029464300721883774,-0.018421178683638573,0.009385376237332821,0.2277386635541916,0.17272204160690308,-0.018272507935762405,-0.17914001643657684,-0.06995401531457901,0.23558785021305084,0.2367434799671173,0.04483916983008385,-0.06748693436384201,-0.07232759147882462,-0.07249535620212555,-0.11617329716682434,0.06741492450237274,-0.057333506643772125,-0.1650385558605194,-0.08822078257799149,0.08144756406545639,-0.01480521634221077,0.12124034017324448,-0.27652236819267273,0.21730798482894897,-0.28411534428596497,-0.31931763887405396,-0.3077572286128998,0.01388155110180378,0.1386505663394928,0.05298001319169998,-0.18260344862937927,0.309193879365921,0.03706955909729004,0.12516464293003082,0.10849429666996002,-0.03816716745495796,-0.25086989998817444,-0.1710943877696991,0.008892578072845936,-0.1061963438987732,-0.10594943910837173,-0.03909793123602867,0.4672994315624237,0.27954035997390747,0.21073254942893982,0.10282216966152191,-0.31864285469055176,0.46155601739883423,0.03613443300127983,0.09464587271213531,-0.04896549507975578,0.4364970922470093,0.16627845168113708,-0.2268933653831482,0.25142887234687805
